Wards,CrimeIntensity
1,1048
2,2161.1
3,1053.1
4,812
5,969.8
6,1364.1
7,1060.9
8,1167.5
9,1037.9
10,683.1
11,630.7
12,558.9
13,652
14,522.3
15,937.9
16,1033.6
17,1306.5
18,670.7
19,391.9
20,1162.1
21,1417.1
22,423.5
23,488.1
24,1396.5
25,711.9
26,564.5
27,1401
28,1594.8
29,756
30,536
31,556.5
32,1115.4
33,384.1
34,1068
35,594.7
36,424.1
37,1012.6
38,410.2
39,422.6
40,406.9
41,570.6
42,3354.3
43,930.1
44,972
45,494.8
46,617
47,514.4
48,451.9
49,550.6
50,471.6
