Precinct,CrimeIntensity
1,292.5
5,210.6
6,320.2
7,180.8
9,283.9
10,226.9
13,434.4
14,606.2
17,201.5
18,494.6
19,390.3
20,192.8
22,27
23,241.4
24,229.2
25,262
26,141.8
28,214.9
30,160.7
32,297.4
33,182.5
34,303.6
40,513.5
41,319.9
42,334.7
43,604.1
44,627
45,289.6
46,433.1
47,508
48,428.3
49,308.6
50,223.3
52,524.8
60,341.7
61,331.9
62,264.4
63,247.5
66,243.8
67,507
68,193.7
69,248.3
70,404.8
71,346.7
72,279.4
73,407.6
75,862.8
76,140.2
77,349.2
78,214
79,352.7
81,340.1
83,379.9
84,248.6
88,215
90,361.9
94,215.4
100,117
101,189
102,323.3
103,431.3
104,304.5
105,433.8
106,364.9
107,274.7
108,233.8
109,398.6
110,342.7
111,151.3
112,139.4
113,360.9
114,383.3
115,411
120,269.3
121,239.6
122,135
123,74.8
